sexo,idade,numero_de_amigos,basquete,futebol_americano,futebol,softbol,voleibol,natacao,animacao,beisebol,tenis,esportes,fofo,danca,banda,marcha,musica,rock,cabelo,vestido,shopping,compras,roupas,nossa_marca,marca_concorrente,bebidas
M,18,97,2,0,0,1,2,1,1,0,0,2,0,1,2,1,0,1,0,0,0,1,1,1,0,0
F,16,23,2,0,0,2,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
M,13,23,1,0,0,2,0,1,0,2,1,0,0,0,2,1,1,0,0,2,0,3,0,0,0,2
F,18,3,2,1,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,2
F,17,14,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,3,2,0,1,0,1,1
F,17,55,1,0,2,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0
F,16,54,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,1,1,1,2,1,0
F,16,37,0,0,1,2,1,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
NE,13,30,1,0,1,1,0,1,1,0,0,2,0,0,1,1,2,1,1,0,0,0,1,2,0,1
M,16,82,2,1,1,1,1,0,2,2,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0
M,18,46,0,0,0,2,1,1,0,2,2,1,0,0,1,2,1,0,0,1,2,4,0,1,0,1
F,15,80,0,0,1,0,2,2,0,1,0,0,0,0,2,1,0,0,1,1,0,1,1,0,0,1
F,17,96,1,0,0,1,1,0,1,1,2,1,1,0,0,0,0,2,1,1,0,1,0,2,0,2
M,13,31,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,1,3,0
M,15,20,1,2,0,1,1,0,0,0,0,0,3,0,1,0,1,0,2,0,2,1,1,0,0,0
M,16,95,3,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,1,1,0,0,1,1,0,2
M,19,63,1,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
M,14,29,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1
M,14,62,0,1,4,1,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,1
NE,15,51,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0
M,19,90,1,1,0,0,1,1,2,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0
M,18,25,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
F,13,99,1,1,1,2,1,0,0,1,1,0,2,3,1,0,0,0,1,0,0,1,0,1,0,0
F,14,93,0,0,0,3,1,1,0,0,0,0,1,0,2,0,0,0,2,0,1,1,3,0,2,3
F,18,18,2,0,1,1,3,0,0,2,0,1,0,0,1,0,1,0,0,2,1,1,0,1,2,0
M,13,16,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
M,18,53,1,0,2,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,1,0
F,14,4,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,2,2,0
M,19,29,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1
F,15,43,0,1,2,0,2,0,0,1,2,0,0,0,1,0,1,1,2,2,1,0,1,2,0,0
F,16,96,1,1,1,0,1,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,3,1,1
M,17,99,1,1,0,0,0,0,1,1,2,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0
F,13,15,1,1,1,0,0,1,0,0,1,0,0,1,3,0,2,0,1,1,0,0,0,1,1,0
F,16,89,1,0,0,1,1,0,2,0,1,1,1,0,1,0,1,1,0,0,1,0,3,1,0,1
F,16,9,1,2,0,2,2,1,0,2,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0
F,18,74,2,1,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0
M,19,84,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
NE,17,89,0,1,1,1,0,0,2,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0
M,15,22,0,1,2,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
M,15,89,0,0,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0
F,15,11,0,0,0,0,0,1,0,0,1,1,1,1,0,2,0,0,0,1,1,2,1,1,1,1
M,18,51,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0
F,15,46,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
F,14,31,0,0,2,0,0,1,0,1,0,1,0,0,1,2,0,0,3,0,1,0,0,0,0,1
M,15,2,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,2,1,1,0,1,0,2,0,1
F,13,77,0,0,2,0,1,1,1,1,0,0,1,1,0,2,0,1,0,2,0,2,0,0,0,1
F,13,33,0,0,0,1,2,0,2,1,3,0,2,0,1,0,0,0,1,0,0,1,0,0,3,0
F,13,66,0,1,0,1,1,1,1,1,1,0,3,0,3,1,0,0,1,0,1,0,0,1,2,0
M,18,41,1,1,0,2,0,0,1,0,1,1,2,3,0,1,0,1,0,1,0,1,1,0,0,1
F,18,37,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
F,17,88,0,0,2,0,0,0,3,0,0,2,1,1,0,0,1,1,1,3,0,0,0,0,0,1
M,16,9,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,1,2
F,18,73,0,1,0,1,0,1,0,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1
M,14,74,1,0,2,1,0,2,0,3,1,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0
F,19,37,1,1,1,0,1,1,0,1,0,0,2,0,1,1,0,4,1,0,1,0,1,0,3,0
M,16,26,1,0,1,0,2,1,0,2,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
NE,19,0,1,2,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,2,0,0
M,14,93,0,2,0,0,0,0,1,0,5,2,2,1,0,0,3,2,0,1,0,0,0,2,0,1
M,16,94,1,1,0,0,2,0,0,1,0,0,0,1,0,2,0,1,2,1,0,0,0,0,1,0
F,17,24,0,0,0,1,1,0,1,3,0,1,0,1,0,3,0,0,1,0,2,0,0,0,0,1
M,16,3,3,1,0,1,1,1,2,2,0,0,1,0,1,0,0,0,1,1,1,1,0,0,2,0
M,16,12,0,2,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0
M,14,6,1,1,1,0,0,0,2,1,0,3,1,0,1,2,1,0,1,0,1,0,1,0,0,0
M,15,83,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,2,0,0,0,0
M,14,89,0,1,0,0,1,0,2,0,2,0,0,2,0,2,0,0,0,1,3,0,1,0,0,1
M,15,15,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,0,1,1,3,1,0,1
F,17,74,1,1,2,1,0,0,2,0,1,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0
M,17,17,0,1,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0
M,17,36,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,4,1,0,2,1
M,15,59,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0,1,0,1,0,0
F,19,71,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2
M,13,87,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
M,15,4,2,0,0,1,1,0,1,1,1,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0
M,13,19,0,0,0,1,0,0,1,3,0,2,1,2,0,0,0,0,1,0,0,2,1,0,0,0
F,15,28,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1
F,19,31,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
